"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density"
2024,48091,163659,203107,"Texas","TX",0.24103776755326622,"Comal County","Comal County","texas/comal-county",560,362.69107142857143
2024,45013,187815,201811,"South Carolina","SC",0.07452013949897496,"Beaufort County","Beaufort County","south-carolina/beaufort-county",576,350.36631944444446
2024,27137,200083,201470,"Minnesota","MN",0.006932123168884807,"St. Louis County","St. Louis County","minnesota/st-louis-county",6248,32.245518565941104
2024,13215,207006,201322,"Georgia","GA",-0.027458141309913753,"Muscogee County","Muscogee County","georgia/muscogee-county",217,927.7511520737327
2024,39155,201681,200020,"Ohio","OH",-0.008235778283526951,"Trumbull County","Trumbull County","ohio/trumbull-county",618,323.65695792880257
2024,38017,184876,200011,"North Dakota","ND",0.08186568294424368,"Cass County","Cass County","north-dakota/cass-county",1765,113.32067988668555
2024,42019,194077,199458,"Pennsylvania","PA",0.02772610870942982,"Butler County","Butler County","pennsylvania/butler-county",789,252.79847908745248
2024,48257,147140,198769,"Texas","TX",0.35088351230120973,"Kaufman County","Kaufman County","texas/kaufman-county",781,254.50576184379003
2024,26093,193968,197380,"Michigan","MI",0.0175905303967665,"Livingston County","Livingston County","michigan/livingston-county",565,349.34513274336285
2024,55101,197568,197265,"Wisconsin","WI",-0.001533649173955265,"Racine County","Racine County","wisconsin/racine-county",333,592.3873873873874
2024,12005,174525,196328,"Florida","FL",0.12492766079358253,"Bay County","Bay County","florida/bay-county",759,258.6666666666667
2024,28033,186122,195350,"Mississippi","MS",0.04958038275969523,"DeSoto County","DeSoto County","mississippi/desoto-county",476,410.39915966386553
2024,36007,198156,194896,"New York","NY",-0.01645168453137935,"Broome County","Broome County","new-york/broome-county",706,276.05665722379604
2024,48187,173697,194206,"Texas","TX",0.11807342671433596,"Guadalupe County","Guadalupe County","texas/guadalupe-county",711,273.1448663853727
2024,55087,190966,194199,"Wisconsin","WI",0.016929715237267384,"Outagamie County","Outagamie County","wisconsin/outagamie-county",638,304.3871473354232
2024,17167,196144,192831,"Illinois","IL",-0.016890651766049425,"Sangamon County","Sangamon County","illinois/sangamon-county",868,222.15552995391704
2024,10001,182315,191820,"Delaware","DE",0.052135041000466176,"Kent County","Kent County","delaware/kent-county",586,327.33788395904435
2024,6017,191245,191643,"California","CA",0.002081100159481375,"El Dorado County","El Dorado County","california/el-dorado-county",1708,112.20316159250585
2024,29019,184047,191205,"Missouri","MO",0.038892239482306135,"Boone County","Boone County","missouri/boone-county",686,278.7244897959184
2024,18063,175596,189655,"Indiana","IN",0.08006446616096041,"Hendricks County","Hendricks County","indiana/hendricks-county",407,465.982800982801
2024,18157,186387,189347,"Indiana","IN",0.01588093590218209,"Tippecanoe County","Tippecanoe County","indiana/tippecanoe-county",499,379.4529058116232
2024,13223,169580,187575,"Georgia","GA",0.10611510791366907,"Paulding County","Paulding County","georgia/paulding-county",312,601.2019230769231
2024,26145,189882,187191,"Michigan","MI",-0.014171959427433878,"Saginaw County","Saginaw County","michigan/saginaw-county",801,233.69662921348313
2024,16055,172785,186730,"Idaho","ID",0.08070723731805418,"Kootenai County","Kootenai County","idaho/kootenai-county",1238,150.8319870759289
2024,1081,174754,185732,"Alabama","AL",0.06281973517058259,"Lee County","Lee County","alabama/lee-county",608,305.48026315789474
2024,39089,178784,184637,"Ohio","OH",0.032737828888491194,"Licking County","Licking County","ohio/licking-county",682,270.72873900293257
2024,39103,182646,184595,"Ohio","OH",0.01067091532253639,"Medina County","Medina County","ohio/medina-county",421,438.46793349168644
